LipidClass,Lipid_Name,tail_length1,tail_length2,saturation_num1,saturation_num2,EmpiricalFormula,mz,mz_13C,ratio_12Cto13C
AsHC,AsHC352,17,NA,4,NA,AsOC19H33,353.18256002,354.18598510374403,4.612413328265439
AsHC,AsHC366,18,NA,4,NA,AsOC20H35,367.19821009,368.2016354988513,4.3815711811639
AsHC,AsHC380,19,NA,4,NA,AsOC21H37,381.21386016,382.21728586296774,4.172734107777538
AsHC,AsHC394,20,NA,4,NA,AsOC22H39,395.22951023,396.2329362003229,3.9828987966755456
AsHC,AsHC408,21,NA,4,NA,AsOC23H41,409.2451603,410.2485865144104,3.809584687590527
AsHC,AsHC422,22,NA,4,NA,AsOC24H43,423.26081037,424.26423680814105,3.650724977781492
AsHC,AsHC436,23,NA,4,NA,AsOC25H45,437.27646044,438.27988708395947,3.504583806963277
AsHC,AsHC450,24,NA,4,NA,AsOC26H47,451.29211051,452.295537343934,3.3696925675212293
AsHC,AsHC464,25,NA,4,NA,AsOC27H49,465.30776058,466.3111875898263,3.2448003780774397
AsHC,AsHC478,26,NA,4,NA,AsOC28H51,479.32341065,480.32683782314626,3.1288351771423573
AsHC,AsHC492,27,NA,4,NA,AsOC29H53,493.33906072,494.34248804519535,3.020872871685551
AsHC,AsHC506,28,NA,4,NA,AsOC30H55,507.35471079,508.35813825710136,2.920112659941564
AsHC,AsHC520,29,NA,4,NA,AsOC31H57,521.37036086,522.3737884598464,2.8258571334051927
AsHC,AsHC534,30,NA,4,NA,AsOC32H59,535.38601093,536.38943865429,2.737496111941228
AsHC,AsHC294,13,NA,5,NA,AsOC15H23,295.10430967,296.10772800718263,5.854230810906879
AsHC,AsHC308,14,NA,5,NA,AsOC16H25,309.11995974,310.12337890719505,5.487298907059453
AsHC,AsHC322,15,NA,5,NA,AsOC17H27,323.13560981,324.1390297092972,5.1636512020778715
AsHC,AsHC336,16,NA,5,NA,AsOC18H29,337.15125988,338.15468042984867,4.876055398424307
AsHC,AsHC350,17,NA,5,NA,AsOC19H31,351.16690995,352.17033108175684,4.61880543901232
AsHC,AsHC364,18,NA,5,NA,AsOC20H33,365.18256002,366.1859816753416,4.387339077888107
AsHC,AsHC378,19,NA,5,NA,AsOC21H35,379.19821009,380.20163221895297,4.177964953463115
AsHC,AsHC392,20,NA,5,NA,AsOC22H37,393.21386016,394.21728271941964,3.9876642504369935
AsHC,AsHC406,21,NA,5,NA,AsOC23H39,407.22951023,408.2329331823803,3.8139442045503644
AsHC,AsHC420,22,NA,5,NA,AsOC24H41,421.2451603,422.2485836125321,3.654728300648177
AsHC,AsHC434,23,NA,5,NA,AsOC25H43,435.26081037,436.26423401381925,3.5082728712113704
AsHC,AsHC448,24,NA,5,NA,AsOC26H45,449.27646044,450.27988438957817,3.373102975089757
AsHC,AsHC462,25,NA,5,NA,AsOC27H47,463.29211051,464.29553474265003,3.2479625494356603
AsHC,AsHC476,26,NA,5,NA,AsOC28H49,477.30776058,478.31118507546967,3.131775260735705
AsHC,AsHC490,27,NA,5,NA,AsOC29H51,491.32341065,492.3268353901353,3.0236134683453453
AsHC,AsHC504,28,NA,5,NA,AsOC30H53,505.33906072,506.34248568846516,2.922673404736297
AsHC,AsHC518,29,NA,5,NA,AsOC31H55,519.35471079,520.3581359720424,2.828255166621482
AsHC,AsHC532,30,NA,5,NA,AsOC32H57,533.37036086,534.3737862422521,2.7397464630810164
AsHC,AsHC292,13,NA,6,NA,AsOC15H21,293.0886596,294.0920729074433,5.864532053364754
AsHC,AsHC306,14,NA,6,NA,AsOC16H23,307.10430967,308.1077241245988,5.496348296267514
AsHC,AsHC320,15,NA,6,NA,AsOC17H25,321.11995974,322.12337520622305,5.171663804374277
AsHC,AsHC334,16,NA,6,NA,AsOC18H27,335.13560981,336.1390261749949,4.883199695740304
AsHC,AsHC348,17,NA,6,NA,AsOC19H29,349.15125988,350.1546770488007,4.625215291353464
AsHC,AsHC362,18,NA,6,NA,AsOC20H31,363.16690995,364.1703278419366,4.393122180338195
AsHC,AsHC376,19,NA,6,NA,AsOC21H33,377.18256002,378.18597856596637,4.183208930150573
AsHC,AsHC390,20,NA,6,NA,AsOC22H35,391.19821009,392.20162923034445,3.9924411213871545
AsHC,AsHC404,21,NA,6,NA,AsOC23H37,405.21386016,406.21727984287577,3.818313710610594
AsHC,AsHC418,22,NA,6,NA,AsOC24H39,419.22951023,420.23293041006065,3.6587404131047956
AsHC,AsHC432,23,NA,6,NA,AsOC25H41,433.2451603,434.2485809373563,3.5119697101548084
AsHC,AsHC446,24,NA,6,NA,AsOC26H43,447.26081037,448.264231429378,3.3765202928810365
AsHC,AsHC460,25,NA,6,NA,AsOC27H45,461.27646044,462.2798818900556,3.2511308900990668
AsHC,AsHC474,26,NA,6,NA,AsOC28H47,475.29211051,476.295532322756,3.134720874963495
AsHC,AsHC488,27,NA,6,NA,AsOC29H49,489.30776058,490.31118273038055,3.026359042169405
AsHC,AsHC502,28,NA,6,NA,AsOC30H51,503.32341065,504.32683311544287,2.9252386446790815
AsHC,AsHC516,29,NA,6,NA,AsOC31H53,517.33906072,518.3424834801314,2.830657273254882
AsHC,AsHC530,30,NA,6,NA,AsOC32H55,531.35471079,532.3581338263606,2.7420005170546227
AsSugPL,AsSugPL790,10,10,0,0,AsO14PC33H64,791.332788295,792.3362297125452,2.616968234297669
AsSugPL,AsSugPL818,12,10,0,0,AsO14PC35H68,819.364088435,820.3675292975744,2.46934098535338
