Lipid Class (short),Lipid ID (ms1 only),SN1 tail length,SN2 tail length,SN1 saturation,SN2 saturation,Empirical Formula (in ionic state),m/z
AsSugPL,AsSugPL866,14,10,4,0,AsO14PC39H68,867.364088435
AsSugPL,AsSugPL894,16,10,4,0,AsO14PC41H72,895.395388575
AsSugPL,AsSugPL922,18,10,4,0,AsO14PC43H76,923.426688715
AsSugPL,AsSugPL950,20,10,4,0,AsO14PC45H80,951.457988855
AsSugPL,AsSugPL978,22,10,4,0,AsO14PC47H84,979.489288995
AsSugPL,AsSugPL1006,24,10,4,0,AsO14PC49H88,1007.520589135
AsSugPL,AsSugPL808,10,10,5,0,AsO14PC35H58,809.285838085
AsSugPL,AsSugPL836,12,10,5,0,AsO14PC37H62,837.317138225
AsSugPL,AsSugPL864,14,10,5,0,AsO14PC39H66,865.348438365
AsSugPL,AsSugPL892,16,10,5,0,AsO14PC41H70,893.379738505
AsSugPL,AsSugPL920,18,10,5,0,AsO14PC43H74,921.411038645
AsSugPL,AsSugPL948,20,10,5,0,AsO14PC45H78,949.442338785
AsSugPL,AsSugPL976,22,10,5,0,AsO14PC47H82,977.473638925
AsSugPL,AsSugPL1004,24,10,5,0,AsO14PC49H86,1005.504939065
AsSugPL,AsSugPL806,10,10,6,0,AsO14PC35H56,807.270188015
AsSugPL,AsSugPL834,12,10,6,0,AsO14PC37H60,835.301488155
AsSugPL,AsSugPL862,14,10,6,0,AsO14PC39H64,863.332788295
AsSugPL,AsSugPL890,16,10,6,0,AsO14PC41H68,891.364088435
AsSugPL,AsSugPL918,18,10,6,0,AsO14PC43H72,919.395388575
AsSugPL,AsSugPL946,20,10,6,0,AsO14PC45H76,947.426688715
AsSugPL,AsSugPL974,22,10,6,0,AsO14PC47H80,975.457988855
AsSugPL,AsSugPL1002,24,10,6,0,AsO14PC49H84,1003.489288995
AsSugPL,AsSugPL846,10,12,0,0,AsO14PC37H72,847.395388575
AsSugPL,AsSugPL874,12,12,0,0,AsO14PC39H76,875.426688715
AsSugPL,AsSugPL902,14,12,0,0,AsO14PC41H80,903.457988855
AsSugPL,AsSugPL930,16,12,0,0,AsO14PC43H84,931.489288995
AsSugPL,AsSugPL958,18,12,0,0,AsO14PC45H88,959.520589135
AsSugPL,AsSugPL986,20,12,0,0,AsO14PC47H92,987.551889275
AsSugPL,AsSugPL1014,22,12,0,0,AsO14PC49H96,1015.583189415
AsSugPL,AsSugPL1042,24,12,0,0,AsO14PC51H100,1043.614489555
AsSugPL,AsSugPL844,10,12,1,0,AsO14PC37H70,845.379738505
AsSugPL,AsSugPL872,12,12,1,0,AsO14PC39H74,873.411038645
AsSugPL,AsSugPL900,14,12,1,0,AsO14PC41H78,901.442338785
AsSugPL,AsSugPL928,16,12,1,0,AsO14PC43H82,929.473638925
AsSugPL,AsSugPL956,18,12,1,0,AsO14PC45H86,957.504939065
AsSugPL,AsSugPL984,20,12,1,0,AsO14PC47H90,985.536239205
AsSugPL,AsSugPL1012,22,12,1,0,AsO14PC49H94,1013.567539345
AsSugPL,AsSugPL1040,24,12,1,0,AsO14PC51H98,1041.598839485
AsSugPL,AsSugPL842,10,12,2,0,AsO14PC37H68,843.364088435
AsSugPL,AsSugPL870,12,12,2,0,AsO14PC39H72,871.395388575
AsSugPL,AsSugPL898,14,12,2,0,AsO14PC41H76,899.426688715
AsSugPL,AsSugPL926,16,12,2,0,AsO14PC43H80,927.457988855
AsSugPL,AsSugPL954,18,12,2,0,AsO14PC45H84,955.489288995
AsSugPL,AsSugPL982,20,12,2,0,AsO14PC47H88,983.520589135
AsSugPL,AsSugPL1010,22,12,2,0,AsO14PC49H92,1011.551889275
AsSugPL,AsSugPL1038,24,12,2,0,AsO14PC51H96,1039.583189415
AsSugPL,AsSugPL840,10,12,3,0,AsO14PC37H66,841.348438365
AsSugPL,AsSugPL868,12,12,3,0,AsO14PC39H70,869.379738505
AsSugPL,AsSugPL896,14,12,3,0,AsO14PC41H74,897.411038645
AsSugPL,AsSugPL924,16,12,3,0,AsO14PC43H78,925.442338785
AsSugPL,AsSugPL952,18,12,3,0,AsO14PC45H82,953.473638925
AsSugPL,AsSugPL980,20,12,3,0,AsO14PC47H86,981.504939065
AsSugPL,AsSugPL1008,22,12,3,0,AsO14PC49H90,1009.536239205
AsSugPL,AsSugPL1036,24,12,3,0,AsO14PC51H94,1037.5675393449999
AsSugPL,AsSugPL838,10,12,4,0,AsO14PC37H64,839.332788295
AsSugPL,AsSugPL866,12,12,4,0,AsO14PC39H68,867.364088435
AsSugPL,AsSugPL894,14,12,4,0,AsO14PC41H72,895.395388575
AsSugPL,AsSugPL922,16,12,4,0,AsO14PC43H76,923.426688715
AsSugPL,AsSugPL950,18,12,4,0,AsO14PC45H80,951.457988855
AsSugPL,AsSugPL978,20,12,4,0,AsO14PC47H84,979.489288995
AsSugPL,AsSugPL1006,22,12,4,0,AsO14PC49H88,1007.520589135
AsSugPL,AsSugPL1034,24,12,4,0,AsO14PC51H92,1035.551889275
AsSugPL,AsSugPL836,10,12,5,0,AsO14PC37H62,837.317138225
AsSugPL,AsSugPL864,12,12,5,0,AsO14PC39H66,865.348438365
AsSugPL,AsSugPL892,14,12,5,0,AsO14PC41H70,893.379738505
AsSugPL,AsSugPL920,16,12,5,0,AsO14PC43H74,921.411038645
AsSugPL,AsSugPL948,18,12,5,0,AsO14PC45H78,949.442338785
AsSugPL,AsSugPL976,20,12,5,0,AsO14PC47H82,977.473638925
AsSugPL,AsSugPL1004,22,12,5,0,AsO14PC49H86,1005.504939065
AsSugPL,AsSugPL1032,24,12,5,0,AsO14PC51H90,1033.536239205
AsSugPL,AsSugPL834,10,12,6,0,AsO14PC37H60,835.301488155
AsSugPL,AsSugPL862,12,12,6,0,AsO14PC39H64,863.332788295
AsSugPL,AsSugPL890,14,12,6,0,AsO14PC41H68,891.364088435
AsSugPL,AsSugPL918,16,12,6,0,AsO14PC43H72,919.395388575
AsSugPL,AsSugPL946,18,12,6,0,AsO14PC45H76,947.426688715
AsSugPL,AsSugPL974,20,12,6,0,AsO14PC47H80,975.457988855
