sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
200;5326.982;300.003600043201;5326.993;300.003600043201;5327.005;100.0004000016;5327.016;0;5327.016;0
201;5327.027;100.0004000016;5327.039;600.014400345608;5327.05;0;5327.062;0;5327.062;NaN
202;5327.073;200.0016000128;5327.085;300.003600043201;5327.096;0;5327.108;0;5327.108;NaN
203;5327.119;100.0004000016;5327.131;200.0016000128;5327.142;0;5327.154;0;5327.154;NaN
204;5327.165;100.0004000016;5327.177;200.0016000128;5327.188;0;5327.2;0;5327.2;NaN
205;5327.211;200.0016000128;5327.222;600.014400345608;5327.234;100.0004000016;5327.246;0;5327.246;0
206;5327.257;300.003600043201;5327.268;200.0016000128;5327.28;0;5327.291;0;5327.291;NaN
207;5327.303;200.0016000128;5327.314;400.006400102402;5327.326;0;5327.337;0;5327.337;NaN
208;5327.349;100.0004000016;5327.36;100.0004000016;5327.372;0;5327.383;0;5327.383;NaN
209;5327.394;0;5327.406;200.0016000128;5327.418;0;5327.429;0;5327.429;NaN
210;5327.44;200.0016000128;5327.452;100.0004000016;5327.463;0;5327.475;0;5327.475;NaN
211;5327.486;200.0016000128;5327.498;100.0004000016;5327.509;100.0004000016;5327.521;0;5327.521;0
212;5327.532;0;5327.544;100.0004000016;5327.555;0;5327.567;0;5327.567;NaN
213;5327.578;100.0004000016;5327.59;0;5327.601;100.0004000016;5327.613;0;5327.613;0
214;5327.624;200.0016000128;5327.635;100.0004000016;5327.647;0;5327.658;0;5327.658;NaN
215;5327.67;100.0004000016;5327.681;0;5327.693;0;5327.704;0;5327.704;NaN
216;5327.716;400.006400102402;5327.727;300.003600043201;5327.739;0;5327.75;0;5327.75;NaN
217;5327.761;0;5327.773;200.0016000128;5327.785;0;5327.796;0;5327.796;NaN
218;5327.807;200.0016000128;5327.819;0;5327.83;0;5327.842;0;5327.842;NaN
219;5327.853;100.0004000016;5327.865;300.003600043201;5327.876;0;5327.888;0;5327.888;NaN
220;5327.899;300.003600043201;5327.911;400.006400102402;5327.922;100.0004000016;5327.934;0;5327.934;0
221;5327.945;200.0016000128;5327.957;100.0004000016;5327.968;0;5327.98;0;5327.98;NaN
222;5327.991;300.003600043201;5328.002;200.0016000128;5328.014;100.0004000016;5328.025;0;5328.025;0
223;5328.037;100.0004000016;5328.048;100.0004000016;5328.06;0;5328.071;0;5328.071;NaN
224;5328.083;200.0016000128;5328.094;100.0004000016;5328.106;0;5328.117;0;5328.117;NaN
225;5328.128;100.0004000016;5328.14;200.0016000128;5328.152;0;5328.163;0;5328.163;NaN
226;5328.174;0;5328.186;100.0004000016;5328.197;0;5328.209;0;5328.209;NaN
227;5328.22;200.0016000128;5328.232;300.003600043201;5328.243;0;5328.255;0;5328.255;NaN
228;5328.266;300.003600043201;5328.278;600.014400345608;5328.289;0;5328.301;0;5328.301;NaN
229;5328.312;100.0004000016;5328.323;300.003600043201;5328.335;0;5328.346;0;5328.346;NaN
230;5328.358;300.003600043201;5328.369;300.003600043201;5328.381;0;5328.392;0;5328.392;NaN
231;5328.404;100.0004000016;5328.415;200.0016000128;5328.427;0;5328.438;0;5328.438;NaN
232;5328.45;200.0016000128;5328.461;300.003600043201;5328.473;0;5328.484;0;5328.484;NaN
233;5328.495;200.0016000128;5328.507;300.003600043201;5328.519;0;5328.53;0;5328.53;NaN
234;5328.541;200.0016000128;5328.553;300.003600043201;5328.564;0;5328.576;0;5328.576;NaN
235;5328.587;100.0004000016;5328.599;100.0004000016;5328.61;0;5328.622;0;5328.622;NaN
236;5328.633;300.003600043201;5328.645;200.0016000128;5328.656;0;5328.668;0;5328.668;NaN
237;5328.679;0;5328.69;100.0004000016;5328.702;100.0004000016;5328.714;0;5328.714;0
238;5328.725;200.0016000128;5328.736;300.003600043201;5328.748;0;5328.759;0;5328.759;NaN
239;5328.771;300.003600043201;5328.782;400.006400102402;5328.794;0;5328.805;0;5328.805;NaN
240;5328.817;100.0004000016;5328.828;200.0016000128;5328.84;0;5328.851;0;5328.851;NaN
241;5328.862;300.003600043201;5328.874;100.0004000016;5328.886;0;5328.897;0;5328.897;NaN
242;5328.908;200.0016000128;5328.92;500.010000200004;5328.931;100.0004000016;5328.943;0;5328.943;0
243;5328.954;0;5328.966;200.0016000128;5328.977;0;5328.989;0;5328.989;NaN
244;5329;100.0004000016;5329.012;0;5329.023;0;5329.035;0;5329.035;NaN
245;5329.046;100.0004000016;5329.058;700.019600548815;5329.069;0;5329.081;0;5329.081;NaN
246;5329.092;200.0016000128;5329.103;300.003600043201;5329.115;0;5329.126;0;5329.126;NaN
247;5329.138;100.0004000016;5329.149;0;5329.161;100.0004000016;5329.172;0;5329.172;0
248;5329.184;100.0004000016;5329.195;400.006400102402;5329.207;0;5329.218;0;5329.218;NaN
249;5329.229;200.0016000128;5329.241;300.003600043201;5329.253;0;5329.264;0;5329.264;NaN
250;5329.275;100.0004000016;5329.287;100.0004000016;5329.298;0;5329.31;0;5329.31;NaN
251;5329.321;0;5329.333;300.003600043201;5329.344;0;5329.356;0;5329.356;NaN
252;5329.367;200.0016000128;5329.379;600.014400345608;5329.39;0;5329.402;0;5329.402;NaN
253;5329.413;100.0004000016;5329.424;500.010000200004;5329.436;0;5329.448;0;5329.448;NaN
254;5329.459;200.0016000128;5329.47;0;5329.482;0;5329.493;0;5329.493;NaN
255;5329.505;0;5329.516;300.003600043201;5329.528;0;5329.539;0;5329.539;NaN
256;5329.551;200.0016000128;5329.562;200.0016000128;5329.574;100.0004000016;5329.585;0;5329.585;0
257;5329.596;300.003600043201;5329.608;100.0004000016;5329.619;0;5329.631;0;5329.631;NaN
258;5329.642;100.0004000016;5329.654;300.003600043201;5329.665;0;5329.677;0;5329.677;NaN
259;5329.688;200.0016000128;5329.7;300.003600043201;5329.711;0;5329.723;0;5329.723;NaN
260;5329.734;200.0016000128;5329.745;100.0004000016;5329.757;0;5329.769;0;5329.769;NaN
261;5329.78;100.0004000016;5329.791;100.0004000016;5329.803;100.0004000016;5329.814;0;5329.814;0
262;5329.826;100.0004000016;5329.837;300.003600043201;5329.849;0;5329.86;0;5329.86;NaN
263;5329.872;0;5329.883;200.0016000128;5329.895;0;5329.906;0;5329.906;NaN
264;5329.917;700.019600548815;5329.929;200.0016000128;5329.94;0;5329.952;0;5329.952;NaN
265;5329.963;100.0004000016;5329.975;300.003600043201;5329.986;0;5329.998;0;5329.998;NaN
266;5330.009;400.006400102402;5330.021;300.003600043201;5330.032;0;5330.044;0;5330.044;NaN
267;5330.055;200.0016000128;5330.067;100.0004000016;5330.078;0;5330.09;0;5330.09;NaN
268;5330.101;0;5330.112;300.003600043201;5330.124;0;5330.136;0;5330.136;NaN
269;5330.147;100.0004000016;5330.158;100.0004000016;5330.17;0;5330.181;0;5330.181;NaN
270;5330.193;0;5330.204;100.0004000016;5330.216;0;5330.227;0;5330.227;NaN
271;5330.239;200.0016000128;5330.25;200.0016000128;5330.262;0;5330.273;0;5330.273;NaN
272;5330.284;200.0016000128;5330.296;200.0016000128;5330.308;0;5330.319;0;5330.319;NaN
273;5330.33;200.0016000128;5330.342;200.0016000128;5330.353;0;5330.365;0;5330.365;NaN
274;5330.376;200.0016000128;5330.388;400.006400102402;5330.399;0;5330.411;0;5330.411;NaN
275;5330.422;0;5330.434;400.006400102402;5330.445;0;5330.457;0;5330.457;NaN
276;5330.468;200.0016000128;5330.479;300.003600043201;5330.491;0;5330.503;0;5330.503;NaN
277;5330.514;100.0004000016;5330.525;300.003600043201;5330.537;100.0004000016;5330.548;0;5330.548;0
278;5330.56;100.0004000016;5330.571;100.0004000016;5330.583;0;5330.594;0;5330.594;NaN
279;5330.606;100.0004000016;5330.617;200.0016000128;5330.629;0;5330.64;0;5330.64;NaN
280;5330.651;100.0004000016;5330.663;0;5330.675;0;5330.686;0;5330.686;NaN
281;5330.697;100.0004000016;5330.709;100.0004000016;5330.72;0;5330.732;0;5330.732;NaN
282;5330.743;100.0004000016;5330.755;100.0004000016;5330.766;0;5330.778;0;5330.778;NaN
283;5330.789;0;5330.801;100.0004000016;5330.812;0;5330.824;0;5330.824;NaN
284;5330.835;300.003600043201;5330.847;100.0004000016;5330.858;0;5330.87;0;5330.87;NaN
